file,variety,full_name,type,plant,leaf,px_cm,base_x,base_y,tip_x,tip_y
AMA1_d.tif,AMA,amazona,ipadu,1,d,28.42,95.5,180.5,305.5,197.5
AMA1_c.tif,AMA,amazona,ipadu,1,c,28.42,107,206,293.5,193.5
AMA1_b.tif,AMA,amazona,ipadu,1,b,28.42,94,203,305.5,194.5
AMA1_a.tif,AMA,amazona,ipadu,1,a,28.42,94.5,201.5,306.5,191.5
AMA4_e.tif,AMA,amazona,ipadu,4,e,28.42,85.5,203.5,313.5,200.5
AMA4_d.tif,AMA,amazona,ipadu,4,d,28.42,80.167,203.833,319,204
AMA4_c.tif,AMA,amazona,ipadu,4,c,28.42,90.5,203.5,308.5,197
AMA4_b.tif,AMA,amazona,ipadu,4,b,28.42,72.5,206.5,326,198.5
AMA4_a.tif,AMA,amazona,ipadu,4,a,28.42,84.5,210,315.5,198
AMA3_e.tif,AMA,amazona,ipadu,3,e,28.42,101.5,196.5,297.5,197.5
AMA3_d.tif,AMA,amazona,ipadu,3,d,28.42,85,207.5,314,203
AMA3_c.tif,AMA,amazona,ipadu,3,c,28.42,84,203,315.5,200.5
AMA3_b.tif,AMA,amazona,ipadu,3,b,28.42,95,201.5,305.5,197.5
AMA3_a.tif,AMA,amazona,ipadu,3,a,28.42,84,198.5,315,208
AMA2_e.tif,AMA,amazona,ipadu,2,e,28.42,88.833,194.5,310.167,203.5
AMA2_d.tif,AMA,amazona,ipadu,2,d,28.42,81,199,328.5,195
AMA2_c.tif,AMA,amazona,ipadu,2,c,28.42,90,194,309.5,205
AMA2_b.tif,AMA,amazona,ipadu,2,b,28.42,103,196.5,297.5,206
AMA2_a.tif,AMA,amazona,ipadu,2,a,28.42,81,202.5,318.5,196.5
BOB4_e.tif,BOB,boliviana blanca,ipadu,4,e,28.42,91.5,192.5,309.5,203.5
BOB4_d.tif,BOB,boliviana blanca,ipadu,4,d,28.42,98.5,203,301.5,200.5
BOB4_c.tif,BOB,boliviana blanca,ipadu,4,c,28.42,98,196.5,300.5,201.5
BOB4_b.tif,BOB,boliviana blanca,ipadu,4,b,28.42,88,206,312.5,198.5
BOB4_a.tif,BOB,boliviana blanca,ipadu,4,a,28.42,83,193,316,201
BOB3_e.tif,BOB,boliviana blanca,ipadu,3,e,28.42,72.5,199,326.5,201
BOB3_d.tif,BOB,boliviana blanca,ipadu,3,d,28.42,80,202,319,196.5
BOB3_c.tif,BOB,boliviana blanca,ipadu,3,c,28.42,90.5,194.5,309.167,202.167
BOB3_b.tif,BOB,boliviana blanca,ipadu,3,b,28.42,71.5,195,327.5,202.5
BOB3_a.tif,BOB,boliviana blanca,ipadu,3,a,28.42,62,197,337,200.5
BOB2_e.tif,BOB,boliviana blanca,ipadu,2,e,28.42,117.833,197.833,280.833,204.833
BOB2_d.tif,BOB,boliviana blanca,ipadu,2,d,28.42,115.5,202.5,282.833,199.167
BOB2_c.tif,BOB,boliviana blanca,ipadu,2,c,28.42,97,199,303.5,197.5
BOB2_b.tif,BOB,boliviana blanca,ipadu,2,b,28.42,100.5,197.5,299,205
BOB2_a.tif,BOB,boliviana blanca,ipadu,2,a,28.42,94,195.5,305.5,197.5
BOB1_e.tif,BOB,boliviana blanca,ipadu,1,e,28.42,86.833,192.833,313.167,201.5
BOB1_d.tif,BOB,boliviana blanca,ipadu,1,d,28.42,81.833,191.5,316.833,196.833
BOB1_c.tif,BOB,boliviana blanca,ipadu,1,c,28.42,73.167,208.833,327.167,202.167
BOB1_b.tif,BOB,boliviana blanca,ipadu,1,b,28.42,96.5,199.5,301.833,202.5
BOB1_a.tif,BOB,boliviana blanca,ipadu,1,a,28.42,75.5,205.5,324.167,202.167
BRO4_e.tif,BRO,boliviana rojo,coca,4,e,28.42,95.5,194.5,302.5,197.5
BRO4_d.tif,BRO,boliviana rojo,coca,4,d,28.42,85,199.5,315,201.5
BRO4_c.tif,BRO,boliviana rojo,coca,4,c,28.42,78,202.5,321,204
BRO4_b.tif,BRO,boliviana rojo,coca,4,b,28.42,104,192,296.5,201
BRO4_a.tif,BRO,boliviana rojo,coca,4,a,28.42,75,187.5,325.5,202.5
BRO3_e.tif,BRO,boliviana rojo,coca,3,e,28.42,82.833,197.167,316.833,211.5
BRO3_d.tif,BRO,boliviana rojo,coca,3,d,28.42,96.833,193.167,302.5,197.833
BRO3_c.tif,BRO,boliviana rojo,coca,3,c,28.42,81,198,319,195
BRO3_b.tif,BRO,boliviana rojo,coca,3,b,28.42,85.5,193.167,313.167,200.5
BRO3_a.tif,BRO,boliviana rojo,coca,3,a,28.42,85.5,200.5,313.5,200
BRO2_e.tif,BRO,boliviana rojo,coca,2,e,28.42,112.167,206.833,286.833,201.167
BRO2_d.tif,BRO,boliviana rojo,coca,2,d,28.42,102.833,196.5,297.167,200.5
BRO2_c.tif,BRO,boliviana rojo,coca,2,c,28.42,87,196.5,312.5,212
BRO2_b.tif,BRO,boliviana rojo,coca,2,b,28.42,96,203.5,303,198
BRO2_a.tif,BRO,boliviana rojo,coca,2,a,28.42,88,195.5,311.5,195
BRO1_e.tif,BRO,boliviana rojo,coca,1,e,28.42,100,199,299,204.5
BRO1_d.tif,BRO,boliviana rojo,coca,1,d,28.42,80.5,197,318,200.5
BRO1_c.tif,BRO,boliviana rojo,coca,1,c,28.42,95,197.5,303.5,202
BRO1_b.tif,BRO,boliviana rojo,coca,1,b,28.42,97,191,302,200.5
BRO1_a.tif,BRO,boliviana rojo,coca,1,a,28.42,99.5,201.5,301,197.5
CHA4_e.tif,CHA,chiparra,coca,4,e,28.42,113.5,198.5,285,202
CHA4_d.tif,CHA,chiparra,coca,4,d,28.42,99,208,300,203
CHA4_c.tif,CHA,chiparra,coca,4,c,28.42,101,188.5,299.5,195
CHA4_b.tif,CHA,chiparra,coca,4,b,28.42,91.5,203,307,200.5
CHA4_a.tif,CHA,chiparra,coca,4,a,28.42,78.5,198,320,198.5
CHA3_e.tif,CHA,chiparra,coca,3,e,28.42,91.5,208,308,190.5
CHA3_d.tif,CHA,chiparra,coca,3,d,28.42,89.833,204.833,309.833,199.167
CHA3_c.tif,CHA,chiparra,coca,3,c,28.42,110.5,195.833,288.5,202.167
CHA3_b.tif,CHA,chiparra,coca,3,b,28.42,102.833,189.833,297.167,207.167
CHA3_a.tif,CHA,chiparra,coca,3,a,28.42,86.5,200.833,313.167,204.833
CHA2_e.tif,CHA,chiparra,coca,2,e,28.42,109.5,200.75,289,200
CHA2_d.tif,CHA,chiparra,coca,2,d,28.42,105.167,202.833,294.833,204.167
CHA2_c.tif,CHA,chiparra,coca,2,c,28.42,104.5,195.5,294.167,196.833
CHA2_b.tif,CHA,chiparra,coca,2,b,28.42,107.5,198,291,203.5
CHA2_a.tif,CHA,chiparra,coca,2,a,28.42,76.833,205.5,322.833,198.833
CHA1_e.tif,CHA,chiparra,coca,1,e,28.42,94.833,203.5,305.167,200.833
CHA1_d.tif,CHA,chiparra,coca,1,d,28.42,103.5,204.167,295.833,193.833
CHA1_c.tif,CHA,chiparra,coca,1,c,28.42,107.5,202.833,290.833,202.833
CHA1_b.tif,CHA,chiparra,coca,1,b,28.42,93.833,201.833,306.5,193.167
CHA1_a.tif,CHA,chiparra,coca,1,a,28.42,107.25,200,292.25,202.5
CHI4_e.tif,CHI,chirosa,coca,4,e,28.42,96.5,199,302.5,192
CHI4_d.tif,CHI,chirosa,coca,4,d,28.42,106.833,200.167,290.833,201.833
CHI4_c.tif,CHI,chirosa,coca,4,c,28.42,75.5,201.167,322.833,198.167
CHI4_b.tif,CHI,chirosa,coca,4,b,28.42,76.5,195.833,322.167,197.5
CHI4_a.tif,CHI,chirosa,coca,4,a,28.42,75.833,202.833,323.167,193.167
CHI3_e.tif,CHI,chirosa,coca,3,e,28.42,91.833,191.167,307.167,197.5
CHI3_d.tif,CHI,chirosa,coca,3,d,28.42,111.5,207.25,288,189
CHI3_c.tif,CHI,chirosa,coca,3,c,28.42,101.75,198,297,197
